Stack Type,Stack Size (elements),Execution Time (nanoseconds)
Dynamic,100,568223
Dynamic,10100,7502393
Dynamic,20100,9969089
Dynamic,30100,5434525
Dynamic,40100,5390536
Dynamic,50100,7185884
Dynamic,60100,3942267
Dynamic,70100,5057957
Dynamic,80100,23476090
Dynamic,90100,20721076
Dynamic,100100,5591434
Dynamic,110100,8226928
Dynamic,120100,6210011
Dynamic,130100,6021146
Dynamic,140100,6948225
Dynamic,150100,5817302
Dynamic,160100,8412237
Dynamic,170100,10748717
Dynamic,180100,9719792
Dynamic,190100,13603795
Dynamic,200100,11176021
Dynamic,210100,10591969
Dynamic,220100,12383420
Dynamic,230100,8625826
Dynamic,240100,10286772
Dynamic,250100,157745224
Dynamic,260100,17233515
Dynamic,270100,15288375
Dynamic,280100,28582760
Dynamic,290100,5833140
Dynamic,300100,24744926
Dynamic,310100,6501503
Dynamic,320100,6639800
Dynamic,330100,30615624
Dynamic,340100,16701349
Dynamic,350100,15872666
Dynamic,360100,86048647
Dynamic,370100,18170056
Dynamic,380100,34013467
Dynamic,390100,20797040
Dynamic,400100,80078993
Dynamic,410100,16268921
Dynamic,420100,17735030
Dynamic,430100,19152826
Dynamic,440100,94142421
Dynamic,450100,20579662
Dynamic,460100,18835866
Dynamic,470100,89016282
Dynamic,480100,19794031
Dynamic,490100,22509101
Dynamic,500100,17433784
Dynamic,510100,97657372
Dynamic,520100,20606075
Dynamic,530100,37393474
Dynamic,540100,24591532
Dynamic,550100,105007162
Dynamic,560100,18086238
Dynamic,570100,21201637
Dynamic,580100,23190691
Dynamic,590100,17996155
Dynamic,600100,125754353
Dynamic,610100,37923401
Dynamic,620100,27831896
Dynamic,630100,26099840
Dynamic,640100,110762946
Dynamic,650100,16997324
Dynamic,660100,38338005
Dynamic,670100,34517967
Dynamic,680100,45438705
Dynamic,690100,177464012
Dynamic,700100,57160684
Dynamic,710100,66957035
Dynamic,720100,69107807
Dynamic,730100,355098950
Dynamic,740100,39012693
Dynamic,750100,48702449
Dynamic,760100,33503485
Dynamic,770100,181680776
Dynamic,780100,26734165
Dynamic,790100,31451498
Dynamic,800100,37230595
Dynamic,810100,189296357
Dynamic,820100,33200939
Dynamic,830100,37685147
Dynamic,840100,38037797
Dynamic,850100,163252539
Dynamic,860100,28845110
Dynamic,870100,27834902
Dynamic,880100,29268100
Dynamic,890100,152265814
Dynamic,900100,21264827
Dynamic,910100,22033919
Dynamic,920100,138683768
Dynamic,930100,21749225
Dynamic,940100,21190668
Dynamic,950100,26219370
Dynamic,960100,157391025
Dynamic,970100,41624203
Dynamic,980100,35751446
Dynamic,990100,37891604
Dynamic,1024,197225
Dynamic,11024,1426261
Dynamic,21024,3482207
Dynamic,31024,1777573
Dynamic,41024,2018790
Dynamic,51024,1706555
Dynamic,61024,112414699
Dynamic,71024,2169739
Dynamic,81024,3001305
Dynamic,91024,2485580
Dynamic,101024,1990301
Dynamic,111024,2764723
Dynamic,121024,2651162
Dynamic,131024,3046323
Dynamic,141024,5657553
Dynamic,151024,3885745
Dynamic,161024,2256648
Dynamic,171024,2632445
Dynamic,181024,2478180
Dynamic,191024,2657566
Dynamic,201024,2448316
Dynamic,211024,2535250
Dynamic,221024,2903042
Dynamic,231024,2896322
Dynamic,241024,2856228
Dynamic,251024,3664734
Dynamic,261024,3496167
Dynamic,271024,3750928
Dynamic,281024,6458893
Dynamic,291024,50516045
Dynamic,301024,5528340
Dynamic,311024,4345110
Dynamic,321024,4548411
Dynamic,331024,4068458
Dynamic,341024,4825477
Dynamic,351024,10033334
Dynamic,361024,6132238
Dynamic,371024,4972249
Dynamic,381024,6993645
Dynamic,391024,5478741
Dynamic,401024,5175171
Dynamic,411024,6250947
Dynamic,421024,6479964
Dynamic,431024,8165155
Dynamic,441024,12931433
Dynamic,451024,5824555
Dynamic,461024,6275098
Dynamic,471024,5787002
Dynamic,481024,7249715
Dynamic,491024,6260968
Dynamic,501024,8759986
Dynamic,511024,7107550
Dynamic,521024,6224312
Dynamic,531024,7327474
Dynamic,541024,7475613
Dynamic,551024,9417855
Dynamic,561024,7664287
Dynamic,571024,9712133
Dynamic,581024,7570264
Dynamic,591024,8136162
Dynamic,601024,7830279
Dynamic,611024,7978797
Dynamic,621024,14717626
Dynamic,631024,31576300
Dynamic,641024,14319974
Dynamic,651024,11297125
Dynamic,661024,10126092
Dynamic,671024,10702753
Dynamic,681024,9615739
Dynamic,691024,9906657
Dynamic,701024,11804449
Dynamic,711024,8857996
Dynamic,721024,8720401
Dynamic,731024,9366346
Dynamic,741024,9874362
Dynamic,751024,9526856
Dynamic,761024,9947102
Dynamic,771024,12984628
Dynamic,781024,11127227
Dynamic,791024,21345758
Dynamic,801024,39137376
Dynamic,811024,25286285
Dynamic,821024,10710526
Dynamic,831024,10843726
Dynamic,841024,12429234
Dynamic,851024,10841238
Dynamic,861024,13966358
Dynamic,871024,20268201
Dynamic,881024,22767088
Dynamic,891024,29378017
Dynamic,901024,38779375
Dynamic,911024,41077482
Dynamic,921024,41126226
Dynamic,931024,23263449
Dynamic,941024,31456851
Dynamic,951024,52770632
Dynamic,961024,44879221
Dynamic,971024,23626071
Dynamic,981024,14314249
Dynamic,991024,14693665
